time,valueA,valueB,valueC
Last 30 Days,"61,562,016","538,246",0.01
30-Mar-22,"61,023,770","2,522,615",0.04
28-Feb-22,"58,501,155","651,141",0.01
30-Jan-22,"57,850,014","827,358",0.01
30-Dec-21,"57,022,656","1,000,177",0.02
30-Nov-21,"56,022,479","2,421,337",0.05
30-Oct-21,"53,601,142","3,412,351",0.07
30-Sep-21,"50,188,791","2,333,775",0.05
30-Aug-21,"47,855,016","4,194,872",0.1
30-Jul-21,"43,660,144","2,758,698",0.07
30-Jun-21,"40,901,446","1,046,430",0.03
30-May-21,"39,855,016","6,853,541",0.21
30-Apr-21,"33,001,475","3,451,326",0.12
30-Mar-21,"29,550,149","888,045",0.03
28-Feb-21,"28,662,104","2,253,132",0.09
30-Jan-21,"26,408,972","2,628,429",0.11
30-Dec-20,"23,780,543","5,201,994",0.28
30-Nov-20,"18,578,549","-185,709",-0.01
30-Oct-20,"18,764,258","2,228,802",0.13
,,,
